message,reply
"Dinner was 1200, I paid, split it evenly between me and Ali.","Got it! I split the 1200 dinner evenly — you and Ali each owe 600. Since you paid, Ali owes you 600."
"Lunch bill 900. I had the burger for 500, Sara had the salad for 400.","Done! You owe 500 for the burger and Sara owes 400 for the salad, totaling 900."
"Split the grocery bill between me, Ali and Sara.","Sure — how much was the grocery bill, and did anyone buy specific items, or should I split it equally three ways?"
"Split 3000 between me and kdirngo.","kdirngo isn't added to this split yet — add them from Add members above and I'll split it."
"Pizza 1600 plus 200 tax, I paid. Split evenly between me and Bilal.","Got it! With 200 tax spread proportionally, you and Bilal each owe 900 of the 1800 total; Bilal owes you 900 since you paid."
"Here's the receipt — figure out the total and how to split it.","I can see the receipt. Before I split it, how would you like to divide it — evenly, or did specific people have specific items? And who's included?"
"Coffee run: 3 coffees at 250 each, split equally between me, Ali and Sara.","Done! The 3 coffees come to 750, so you, Ali and Sara each owe 250."
"I paid 2000 for dinner. Add a 10% tip and split it evenly with Umer.","Got it! With a 10% tip the total is 2200; you and Umer each owe 1100, and Umer owes you 1100 since you paid."
"Ali paid the 1000 bill, split it evenly between me and Ali.","Done! Each share is 500. Since Ali paid, you owe Ali 500."
"Split the taxi fare.","Happy to — how much was the fare, who shared the ride, and who paid?"
